resource_game_id,mapped_name,weight
RES_COLLECT_Barley1,大麦球果,64
RES_CARVED_Bismor,蜂母石,4
RES_CARVED_Magnite,吸铁石,4
RES_CARVED_Phazyonite,方晶辉石,4
RES_CARVED_Umanite,乌玛石,4
RES_VEIN_Croppa,铜矿,4
RES_CARVED_Hollomite,容和石,2
RES_COLLECT_Apoca_Bloom,彼岸花,2
RES_COLLECT_Boolo,布洛蘑菇,2
RES_COLLECT_Ebonut,硬胶果实,2
RES_COLLECT_Fossil,化石,2
RES_VEIN_Dystrum,异镝,2
RES_VEIN_Morkite,墨菱石,2
RES_CARVED_OilShale,油页岩,1
RES_COLLECT_Barley2,酵母松果,1
RES_COLLECT_Barley3,麦芽星果,1
RES_COLLECT_Barley4,淀粉坚果,1
RES_COLLECT_MorkiteSeed,墨菱种子,1
RES_EMBED_Enor,妙绝珠,1
RES_EMBED_Jadiz,玉石,1
RES_VEIN_Gold,黄金,1
RES_VEIN_Nitra,硝石,1
